1.26,1.87,1.48,4.68,4,1.55
1.26,3.32,1.52,4.13,4.52,2.74
1.26,3.03,2.03,4.35,4.61,2.97
1.26,2.48,2.26,3.68,4.61,2.58
1.32,3.1,2.43,2.26,4.39,3.1
1.61,2.52,2.29,2.68,4.71,3.19
1.23,4.06,4.1,2.32,3.26,4.26
1.35,3.32,4.65,2.42,3.97,4.52
1.42,3.65,2.84,2.16,3.29,4.06
4.52,1.32,1.58,1.1,1.26,1.23
4.32,1.61,1.42,1.48,1.52,1.48
4.65,1.32,1.45,1.19,1.29,1.29
2.9,2.65,1.74,1.87,1.9,1.87
3.48,2.19,1.55,1.68,1.55,1.58
2.97,2.39,1.71,1.81,1.61,1.84
1.65,4.23,1.74,2.13,2.74,2.68
1.39,4.52,1.61,1.77,2.71,2.61
1.26,4.84,1.65,2.13,2.52,2.23
1.84,2.35,4.94,2,2.52,3.29
2.32,1.65,4.97,1.81,1.9,2.26
1.97,2.23,4.9,2.13,2.39,3.03
