1.42,3.19,1.77,4.06,4,2.58
1.39,2.58,1.74,4.13,3.48,1.94
1.55,2.16,1.77,4.16,3.32,1.94
1.35,1.81,2.19,3.16,4.81,2.39
1.55,2.39,2.32,3.23,4.65,2.32
1.35,2.39,1.9,3.1,4.55,2.87
1.42,3.06,3.29,2.52,4.16,3.45
1.45,2.77,3.13,2.32,4.39,3.1
1.35,3.06,3.35,2.39,4.19,3.42
4.32,1.52,1.26,1.13,1.13,1.26
4.35,1.65,1.13,1.13,1.26,1.55
4.61,1.68,1.52,1.29,1.32,1.45
2.84,2.58,1.87,1.84,1.87,1.84
3.06,2.32,1.52,1.84,1.71,1.68
2.97,1.9,1.42,1.61,1.52,1.32
1.68,4.1,1.45,1.74,2.23,2.29
1.48,4.23,1.45,1.84,2.52,2.48
1.61,3.87,1.55,2.35,3.03,2.48
1.65,2.77,4.61,2.1,2.87,3.74
2.03,2.03,4.58,1.87,1.94,2.81
1.77,2.52,4.77,2.03,2.13,3.32
