1.39,3,1.87,3.84,3.81,2.29
1.68,3.32,2.1,4.1,3.9,2.71
1.39,3.1,1.84,3.52,3.94,2.35
1.45,3.06,1.6,3.27,4.48,2.77
1.16,4.03,2.1,3.52,4.42,2.87
1.1,3.35,2.32,3.32,4.52,2.74
1.16,3,1.97,3.06,4.35,2.55
1.26,3.03,4.19,2.94,4.45,4.1
1.19,3.29,3.03,3.52,4.16,3.45
1.23,3.16,2.74,3.55,4.29,3.39
4.42,1.55,1.42,1.42,1.45,1.45
4.48,1.68,1.58,1.65,1.55,1.58
4.29,1.45,1.48,1.45,1.42,1.32
1.84,2.29,3.71,2.35,2.32,2.13
1.9,2.81,2.52,2.39,2.32,2.32
2.1,2.13,3.61,2.16,2.1,2.06
1.19,4.35,1.83,2.87,3.77,3.42
1.26,4.26,1.9,2.87,3.61,3.35
1.39,4.42,1.94,2.77,3.68,3.81
1.77,2.55,4.71,2.42,2.58,2.87
1.84,1.8,4.84,2.16,1.9,2.19
1.77,1.77,4.81,2,2,2.52
