1.39,1.87,1.73,4.58,3.19,1.68
1.52,2.58,1.74,4.58,3.65,1.61
1.48,2.48,2.19,4.48,3.42,2.16
1.35,2.19,2.23,3.39,4.55,2.58
1.35,2.32,1.97,4.03,4.39,2.35
1.39,2.45,1.67,4.29,4.06,2.1
1.52,2.26,4.45,3.16,3.03,2.9
1.61,2.39,3.97,3.19,3.71,2.74
1.55,2.42,4,3.58,3.55,3.06
4.45,1.29,1.1,1.19,1.26,1.19
4.19,1.48,1.65,1.29,1.32,1.35
2.23,2.06,1.84,2.87,2.35,1.87
2.32,2.23,1.68,2.68,2.35,1.84
2.03,2.16,1.68,2.81,2.39,1.81
1.48,4.23,1.84,2.55,2.74,2.29
1.42,4.26,1.74,2.52,3.06,2.48
1.48,3.9,1.77,2.81,3.29,2.42
2,1.77,4.68,1.81,1.65,2.03
2.1,1.84,4.58,2.19,2.03,2.1
2.42,1.84,4.74,1.94,1.87,2.06
