1.55,1.9,2.1,4.32,3.9,1.81,KA-AN1
1.67,1.97,1.7,4.6,4.1,1.77,KA-AN2
1.3,1.7,1.7,4.3,4.43,1.73,KA-AN3
1.42,3.55,2.13,2.65,4.19,3.03,KA-DI1
1.29,2.26,2.13,3.32,4.74,2.87,KA-DI2
1.32,1.94,1.94,2.52,4.68,2.55,KA-DI3
1.32,4.16,3.65,1.97,2.87,4.26,KA-FE1
1.29,3.42,3.16,1.94,4.06,3.87,KA-FE2
1.39,3,4.29,2.32,3.74,4.13,KA-FE3
2.06,2.16,4.29,1.61,2.1,2.42,KA-FE4
4.39,1.35,2.29,1.16,1.23,1.26,KA-HA1
4.77,1.29,2.45,1.26,1.23,1.23,KA-HA2
4.61,1.48,2.19,1.29,1.32,1.39,KA-HA3
4.03,1.68,1.42,1.19,1.13,1.29,KA-HA4
3.03,2.16,2.06,1.94,1.84,1.87,KA-NE1
2.84,1.94,2.13,1.77,1.68,1.87,KA-NE2
3.06,1.84,2.29,1.77,1.71,1.84,KA-NE3
1.39,3.97,1.68,2.19,3.68,3.61,KA-SA1
1.26,4.13,1.77,2.4,3.1,2.74,KA-SA2
1.68,3.71,1.74,2.42,3.16,3.03,KA-SA3
2.87,1.55,4.68,1.52,1.52,1.65,KA-SU1
3,1.94,4.35,1.68,1.55,1.58,KA-SU2
2.94,1.97,4.74,1.68,1.71,2.03,KA-SU3
1.39,3,1.87,3.84,3.81,2.29,KL-AN1
1.68,3.32,2.1,4.1,3.9,2.71,KL-AN2
1.39,3.1,1.84,3.52,3.94,2.35,KL-AN3
1.45,3.06,1.6,3.27,4.48,2.77,KL-DI1
1.16,4.03,2.1,3.52,4.42,2.87,KL-DI2
1.1,3.35,2.32,3.32,4.52,2.74,KL-DI3
1.16,3,1.97,3.06,4.35,2.55,KL-DI4
1.26,3.03,4.19,2.94,4.45,4.1,KL-FE1
1.19,3.29,3.03,3.52,4.16,3.45,KL-FE2
1.23,3.16,2.74,3.55,4.29,3.39,KL-FE3
4.42,1.55,1.42,1.42,1.45,1.45,KL-HA1
4.48,1.68,1.58,1.65,1.55,1.58,KL-HA2
4.29,1.45,1.48,1.45,1.42,1.32,KL-HA3
