2.55,2.16,1.81,2.16,1.94,1.94
2.03,2.29,1.61,2.71,2.35,1.87
1.68,3,1.84,3.17,3.65,2.58
2.67,2.67,1.77,2.3,3.1,2.21
2.45,1.94,1.52,2.16,2.61,1.65
1.55,3.61,3.65,1.84,2.71,3.87
2.29,2.29,3.84,1.94,2.32,2.29
1.9,2.03,4.52,1.87,1.87,2.61
4.29,1.55,1.45,1.39,1.26,1.23
4.39,1.42,2.1,1.32,1.26,1.23
4.19,1.45,1.84,1.42,1.35,1.39
3.03,2.32,1.77,1.74,1.77,1.68
3.29,2.23,1.84,1.68,1.68,1.71
3.19,2.26,1.71,1.87,1.74,1.71
2,3.77,1.67,1.77,1.77,2.29
2.48,2.68,1.81,1.97,1.9,1.84
2.03,3.48,1.94,1.87,2.16,2.77
2.68,1.65,4.94,1.48,1.45,1.77
2.9,1.53,4.8,1.43,1.37,1.57
2.65,1.77,4.94,1.65,1.52,1.9
